iter	RMSE
0	1913.02761
1	1591.2016
2	1295.346518
3	1035.529533
4	864.3486915
5	716.3823009
6	610.768117
7	535.4982162
8	488.2426319
9	452.5550647
10	426.5101242
11	405.796113
12	381.7627961
13	369.1686443
14	356.1335976
15	345.4039826
16	334.6454749
17	326.0585415
18	323.2714379
19	317.0300678
20	310.0482226
21	305.660397
22	302.6936127
23	299.8691818
24	299.4360211
25	299.2374358
26	291.0221319
27	290.8019875
28	290.6338399
29	286.3729372
30	286.0786644
31	280.3015376
32	277.6603033
33	272.5861491
34	268.7436891
35	268.157459
36	265.9399543
37	262.9026177
38	259.5899784
39	257.1424637
40	253.1708375
41	252.9966761
42	247.581592
43	245.9189194
44	242.2406834
45	240.0304163
46	238.3490664
47	237.2930031
48	235.9312641
49	235.1005602
50	232.4287514
51	228.6284148
52	226.8250026
53	226.7149598
54	224.5349789
55	223.8366875
56	221.5180381
57	218.4016614
58	216.1803083
59	214.3544656
60	212.0246563
61	210.4494407
62	208.2615154
63	207.1932668
64	205.9368844
65	204.9332468
66	204.3065531
67	203.2097396
68	200.4838016
69	199.5500402
70	196.0691539
71	195.0422564
72	193.2050869
73	189.4828659
74	188.7293866
75	188.0880538
76	187.2027598
77	185.4750412
78	183.1099491
79	181.1941272
80	180.1700379
81	179.022253
82	175.7716451
83	175.4059323
84	174.9711172
85	173.8340095
86	173.4732019
87	172.0822913
88	170.3783286
89	170.0305012
90	169.4917138
91	168.1249847
92	167.0698631
93	166.4169563
94	166.1532509
95	166.0832481
96	165.6184149
97	164.9281195
98	164.909561
99	164.1336209
