iter	Passed	Remaining
0	174	17304
1	205	10067
2	231	7494
3	261	6276
4	288	5487
5	316	4964
6	361	4797
7	423	4866
8	456	4614
9	518	4670
10	585	4739
11	652	4783
12	721	4828
13	783	4814
14	851	4823
15	914	4798
16	980	4785
17	1053	4800
18	1122	4786
19	1185	4743
20	1248	4697
21	1314	4661
22	1374	4600
23	1443	4570
24	1493	4480
25	1517	4318
26	1592	4304
27	1642	4224
28	1666	4080
29	1729	4036
30	1761	3920
31	1810	3846
32	1858	3774
33	1901	3691
34	1943	3609
35	1985	3529
36	2027	3453
37	2063	3367
38	2098	3281
39	2137	3206
40	2173	3127
41	2209	3051
42	2280	3022
43	2325	2959
44	2373	2901
45	2409	2828
46	2460	2774
47	2511	2721
48	2550	2655
49	2582	2582
50	2616	2513
51	2651	2447
52	2683	2379
53	2717	2314
54	2749	2249
55	2785	2188
56	2822	2129
57	2854	2066
58	2886	2006
59	2924	1949
60	2955	1889
61	2988	1831
62	3021	1774
63	3056	1719
64	3087	1662
65	3119	1607
66	3152	1552
67	3187	1500
68	3220	1446
69	3251	1393
70	3281	1340
71	3314	1288
72	3352	1239
73	3385	1189
74	3417	1139
75	3449	1089
76	3481	1039
77	3515	991
78	3546	942
79	3579	894
80	3612	847
81	3648	800
82	3679	753
83	3712	707
84	3744	660
85	3778	615
86	3811	569
87	3843	524
88	3883	479
89	3944	438
90	3978	393
91	4013	348
92	4045	304
93	4082	260
94	4115	216
95	4150	172
96	4184	129
97	4221	86
98	4248	42
99	4282	0
